Name,Director,Actors   ,As a Phrase,Includes,Excludes,Hashtags,General Limitation,Note
'71,No,No,Yes,,,No,Yes,Source: IMDB 
5 Flights Up,Richard Loncraine,"Diane Keaton, Morgan Freeman, Cynthia Nixon ",Yes,,,No,Yes,Source: IMDB 
5 to 7,Victor Levin,"Anton Yelchin, B_r_nice Marlohe, Olivia Thirlby",Yes,,,No,No,Source: IMDB          Add general limitation doesn't work 
A La Mala,No,No,Yes, Aislinn,,No,Yes,Source: IMDB 
A LEGO Brickumentary,No,No,Yes,,,No,No,Source: IMDB 
A Walk in the Woods,No,No,Yes,,,No,Yes,Source: IMDB 
Adult Beginners,Ross Katz,"Nick Kroll, Rose Byrne, Bobby Cannavale",Yes,Jeff Cox ,,No,Yes,Source: IMDB 
After The Ball,No,No,Yes,,,No,Yes,Source: IMDB 
Aloft,Claudia Llosa,"Jennifer Connelly, Cillian Murphy, M_lanie Laurent ",No,,,#Aloft,Yes,Source: IMDB 
Aloha,Cameron Crowe," Bradley Cooper, Rachel McAdams, Emma Stone ",No,,,#Aloha,Yes,Source: IMDB 
American Ultra,No,No,Yes,,,No,No,Source: IMDB 
Amy,Asif Kapadia,"Amy Winehouse, Mitch Winehouse, Mark Ronson",No,,,No,No,Source: IMDB 
Ant-Man,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll",Yes,,,No,Yes,Source: IMDB 
Avengers: Age of Ultron,No,No,Yes,,,No,No,Source: IMDB 
Batkid Begins,No,No,Yes,,,No,No,Source: IMDB 
Before We Go, Chris Evans,"Chris Evans, Alice Eve, Maria Breyman",Yes,Chris Daley,,No,Yes,Source: IMDB 
Best of Enemies,No,No,Yes,,,No,No,Source: IMDB 
Can't Stand Losing You Surviving the Police,No,No,Yes,,,No,No,Source: IMDB 
Cartel Land,No,No,Yes,,,No,No,Source: IMDB 
Chappie,No,No,No,,,#Chappie ,Yes,Source: IMDB 
Cheatin',Bill Plympton,No actors,No,,,No,Yes,Source: IMDB 
Child 44,Daniel Espinosa,"Tom Hardy, Gary Oldman, Noomi Rapace ",Yes,Tom Rob Smith,,No,Yes,Source: IMDB 
Cinderella,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden",No,Disney,,No,Yes,Source: IMDB 
Clouds of Sils Maria,No,No,Yes,,IBM Big Data,No,No,Source: IMDB 
Cop Car, Jon Watts,"Kevin Bacon, James Freedson-Jackson, Hays Wellford ",Yes,,,No,Yes,Source: IMDB 
Cupcakes,Eytan Fox,"Dana Ivgy, Keren Berger, Yael Bar-Zohar ",No,,,No,Yes,Source: IMDB 
Danny Collins,No,No,Yes,,,No,No,Source: IMDB 
Dark Places,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks",Yes,,,No,Yes,Source: IMDB 
Deli Man,No,No,Yes,,,No,Yes,Source: IMDB 
Desert Dancer,No,No,Yes,,,No,No,Source: IMDB 
Digging for Fire,No,No,Yes,,,No,No,Source: IMDB 
Do I Sound Gay?,No,No,Yes,,,No,No,Source: IMDB 
Do You Believe,Adrian Fach,"Sophia Ruffolo, Mike Ruffolo, Adrianna Garcia",Yes,"Mira Sorvino, Sean Astin, Alexa PenaVega",,No,Yes,Source: IMDB 
Dope,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons",No,,,No,Yes,Source: IMDB 
Dragon Ball Z: Resurrection of 'F',No,No,Yes,,,No,No,Source: IMDB 
Eastern Boys,No,No,Yes,,,No,Yes,Source: IMDB 
Eden,Shyam Madiraju,"Jessica Lowndes, Diego Boneta, James Remar ",No,,,No,Yes,Source: IMDB 
Entourage,Doug Ellin,"Adrian Grenier, Kevin Connolly, Jerry Ferrara ",No,,,#Entourage,Yes,Source: IMDB 
Ex Machina,No,No,Yes,,,No,No,Source: IMDB 
Fantastic Four,No,No,Yes,,,No,No,Source: IMDB 
Far from the Madding Crowd,No,No,Yes,,"book, page",No,No,Source: IMDB 
Farewell to Hollywood,"Henry Corra, Regina Nicholson","Henry Corra, Kimberley Hassett",Yes,,,No,Yes,Source: IMDB 
Focus,"Glenn Ficarra, John Requa","Will Smith, Margot Robbie, Rodrigo Santoro",Yes,,,#Focus,Yes,Source: IMDB 
Freetown,Garrett Batty,"Henry Adofo, Michael Attram, Alphonse Menyo",Yes,,,No,Yes,Source: IMDB 
Furious 7,No,No,No,,,No,No,Source: IMDB 
Futuro Beach,"Felipe Bragan_a, Karim A_nouz"," Wagner Moura, Clemens Schick, Jesu_ta Barbosa",Yes,,,No,Yes,Source: IMDB 
Gabriel,Lou Howe,"Rory Culkin, David Call, Deirdre O'Connell ",No,,,No,Yes,Source: IMDB 
Gemma Bovery,No,No,Yes,,,No,No,Source: IMDB 
Get Hard,No,No,Yes,"crime movie, crime film, Will Ferrell, Kevin Hart, Alison Brie, millionaire",, #Gethard,Yes,Source: IMDB 
