ReleaseMonth,Items,Name,TotalGross,Sum4,Sum7,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Budget,ScreensWeek1,MarketShare,HorrorThriller,Drama,Sci-Fi,AnimationComputer,Documentary,Action,Romance,Comedy,Foreign,GenreCheck,TSentiScoreW0,TSentiScoreW1,TSentiScoreW2,TSentiScoreW3,TSentiScoreW4,TSentiScoreW5,TSentiScoreW6,TSentiScoreW7,TVolumeW0,TVolumeW1,TVolumeW2,TVolumeW3,TVolumeW4,TVolumeW5,TVolumeW6,TVolumeW7
20-Feb-15,1,The DUFF,34030343,31203008,33569417,0,12902975,8363101,6151331,3785601,1620453,577354,168602,"8,500,000",2575,3.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
20-Feb-15,2,Hot Tub Time Machine 2,12314651,12220273,12314651,0,7867533,3407332,796876,148532,94378,0,0,"14,000,000",2880,6.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
20-Feb-15,3,McFarland USA,44482410,36333976,42184503,0,14183981,9924450,7173676,5051869,3107720,1713802,1029005,N/A,2755,17.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
20-Feb-15,4,Wild Tales,3107072,919893,2042000,0,255479,138222,185548,340644,378755,411352,332000,N/A,4,0.7,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
27-Feb-15,5,Focus,53862963,50559409,53477545,0,24553496,13673919,7876062,4455932,1817213,667913,433010,"50,000,000",3323,16.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
27-Feb-15,6,The Lazarus Effect,25801047,24460916,25451745,0,12300316,6624002,3729596,1807002,657418,215805,117606,"3,300,000",2666,0.9,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,7,After The Ball,161820,143992,156011,0,83361,21934,29647,9050,7875,4144,0,N/A,43,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,8,71,1270847,796703,1242608,0,75248,95230,285177,341048,263426,125173,57306,N/A,4,0.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,9,Deli Man,502294,333153,457978,0,56382,91104,90517,95150,83817,26824,14184,N/A,15,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,10,Eastern Boys,16831,11574,14020,0,8798,2776,0,0,0,1328,1118,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
25-Feb-15,11,Farewell to Hollywood,8601,8222,8222,1231,760,0,5961,270,0,0,0,N/A,2,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,12,Futuro Beach,20262,17478,18860,0,4297,5585,5429,2167,358,0,1024,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
27-Feb-15,13,The Hunting Ground,405917,123477,237977,1643,35243,19640,39257,27694,17821,36650,60029,N/A,2,0.2,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,14,A La Mala,3629842,3528003,3629842,0,1749305,1092769,490148,195781,101839,0,0,N/A,384,3.7,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
27-Feb-15,15,Maps to the Stars,350741,342762,350741,0,200128,94597,36815,11222,7979,0,0,N/A,66,1.3,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,16,The Salvation,42070,40020,42070,0,7703,8950,15245,8122,2050,0,0,N/A,2,0.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Feb-15,17,Snow Girl and the Dark Crystal,165428,157512,164661,0,108302,35135,10978,3097,4396,1545,1208,N/A,24,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
06-Mar-15,18,Chappie,31569268,30561795,31387076,0,17612761,8041678,3718044,1189312,361713,278131,185437,"49,000,000",3201,6.3,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
06-Mar-15,19,Unfinished Business,10219501,10157275,10219501,0,6377755,3286571,452361,40588,47083,15143,0,"35,000,000",2777,10.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
06-Mar-15,20,The Mafia Only Kills in Summer,37134,7494,26477,0,3167,0,0,4327,8281,4566,6136,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
06-Mar-15,21,Merchants of Doubt,192400,172206,172206,0,25654,47465,49354,49733,0,0,0,N/A,4,0.7,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
06-Mar-15,22,The Second Best Exotic Marigold Hotel,33078266,29060582,32234086,0,12360265,8314835,5274703,3110779,1762922,956658,453924,"10,000,000",1573,1.1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
13-Mar-15,23,Cinderella,201151353,173548726,191293370,0,87549134,44958395,24453589,16587608,8904287,5341417,3498940,"95,000,000",3845,17.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
13-Mar-15,24,Run All Night,26461644,25616811,26403824,0,14606888,7010630,3045571,953722,411121,217617,158275,"50,000,000",3171,16.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
13-Mar-15,25,It Follows,14674076,9773801,14194634,0,220663,513800,5341222,3698116,2689884,1196824,534125,N/A,4,0.2,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
13-Mar-15,26,Seymour An Introduction,620731,330000,563850,0,36219,79106,121515,93160,111589,66069,56192,N/A,2,0.1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
13-Mar-15,27,The Wrecking Crew,801606,489690,679393,0,81228,145845,142221,120396,94097,44162,51444,N/A,7,0.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
20-Mar-15,28,The Divergent Series Insurgent,130179072,116455473,126848046,0,64318823,29065991,14613333,8457326,5354566,3756985,1281022,"110,000,000",3875,3.7,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
20-Mar-15,29,Do You Believe,12985600,11859416,12710135,0,4901559,3409254,2269787,1278816,505677,225907,119135,N/A,1320,0.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
20-Mar-15,30,The Gunman,10664749,10522480,10664749,0,6764865,2939610,613972,204033,66900,75369,0,"40,000,000",2816,0.5,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
20-Mar-15,31,Can't Stand Losing You Surviving the Police,23262,20765,24015,0,7129,0,8342,5294,2497,0,753,N/A,2,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
20-Mar-15,32,Danny Collins,5637066,2987499,5213090,0,96969,290609,508967,2090954,1301090,618839,305662,"10,000,000",5,0.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
18-Mar-15,33,Kumiko The Treasure Hunter,623383,427826,565665,6291,49463,132333,153420,86319,63750,46821,27268,N/A,1,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
20-Mar-15,34,Love and Lost (Shi Gu),188817,184673,188306,0,126712,47868,7489,2604,1450,1161,1022,N/A,24,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
20-Mar-15,35,Spring,49970,46226,48647,0,28195,12996,3051,1984,990,1330,101,N/A,13,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Mar-15,36,Get Hard,90411453,80161240,88221661,0,44087417,18478163,10883188,6712472,4856769,1755724,1447928,"40,000,000",3175,16.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
27-Mar-15,37,Home,177397510,145484071,162946942,0,68230094,42323403,21755383,13175191,9348206,4283665,3831000,"135,000,000",3708,10.7,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Mar-15,38,Cupcakes,9129,8685,9135,0,3577,2658,0,2450,225,0,225,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
27-Mar-15,39,Man From Reno,101438,77385,101438,0,20782,21456,23208,11939,9133,6400,8520,N/A,4,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Mar-15,40,The Salt of the Earth,1342778,425806,899000,12099,60101,105026,115689,132891,170254,145940,157000,N/A,4,0.7,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Mar-15,41,Serena,176391,174161,176391,0,133126,36182,3022,1831,683,1228,319,N/A,59,0.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
27-Mar-15,42,While We're Young,7587485,4608729,7008611,0,305353,672678,1589788,2040910,1399871,601121,398890,N/A,4,0.6,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
27-Mar-15,43,White God,282358,211333,254684,0,23567,74857,70052,42857,18526,11768,13057,N/A,2,0.1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
03-Apr-15,44,Furious 7,351032910,324424355,344889185,0,191930470,73423610,36906055,22164220,8723580,6985560,4755690,"190,000,000",4004,27.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
03-Apr-15,45,5 to 7,138981,123518,139041,0,25661,40551,35554,21752,9941,5582,0,N/A,2,0.1,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
03-Apr-15,46,Cheatin',15077,12747,15077,0,5293,1084,3027,3343,2330,0,0,N/A,1,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
03-Apr-15,47,The Living,5514,5096,5264,0,120,3987,699,290,148,0,20,N/A,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
01-Apr-15,48,Woman in Gold,33307195,22907473,29504970,95751,3355147,7904614,6778267,4773694,2418183,2436062,1743252,"11,000,000",28,3.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
03-Apr-15,49,Lambert & Stamp,183320,63136,117731,0,20688,18564,8483,15401,13563,17167,23865,N/A,3,0.7,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,50,The Longest Ride,37446117,33910098,36933955,0,16660516,9372323,5507604,2369655,1823683,780244,419930,"34,000,000",3366,10.7,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,51,Clouds of Sils Maria,1841555,998624,1615667,0,90557,216555,302171,389341,357186,158323,101534,N/A,3,0.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,52,Desert Dancer,155271,140903,155271,0,59079,43498,26862,11464,4718,1506,8144,N/A,23,0.9,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,53,Ex Machina,25442958,12250000,22819329,0,327616,1150814,7156570,3615000,5212462,3108609,2248258,"15,000,000",4,0.6,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
08-Apr-15,54,Freetown,387130,361046,377772,70790,185894,62824,31726,9812,9275,7451,0,N/A,121,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,55,Kill Me Three Times,24296,23198,24296,0,22019,708,165,306,1098,0,0,N/A,16,0.1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,56,Dior and I,1028953,573226,905425,0,65758,72909,200577,233982,168092,98247,65860,N/A,2,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
10-Apr-15,57,"Beyond the Mask
",1236094,703243,730006,441755,140385,70291,31634,19178,10689,7394,8680,N/A,86,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
17-Apr-15,58,Child 44,1224330,1224330,1224330,0,882727,287341,14644,39618,0,0,0,N/A,510,6.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
17-Apr-15,59,Monkey Kingdom,15624728,14860169,15624728,0,6707112,4584540,1819181,1749336,764559,0,0,N/A,2012,18,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
17-Apr-15,60,Paul Blart Mall Cop 2,63817709,59329010,63817709,0,28448184,17188212,7248475,6444139,4488699,0,0,"30,000,000",3633,5.1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
24-Apr-15,61,Adult Beginners,104808,101311,104808,0,46273,39510,11256,4272,2515,982,0,N/A,10,0.4,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
24-Apr-15,62,The Age of Adaline,38389215,38389215,42027704,0,17174118,8754975,7852876,4607246,2488434,852644,297411,N/A,2991,6.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
24-Apr-15,63,Kung Fu Killer,125820,125820,129784,0,82134,26404,12637,4645,1968,1996,0,N/A,28,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
24-Apr-15,64,Misery Loves Comedy,19634,17628,19634,0,5434,7045,2875,2274,1527,479,0,N/A,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
24-Apr-15,65,Little Boy,6485961,6047108,6443250,0,3369615,1269282,949898,458313,231546,101535,63061,N/A,1045,0.5,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
24-Apr-15,66,The Water Diviner,4196641,3825244,4138315,0,1674510,1000090,780670,369974,197692,79225,36154,"22,500,000",320,16.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
01-May-15,67,"Avengers:
Age of Ultron",458991599,416150025,446599953,0,235655468,97515340,49999671,32979546,15663871,9288322,5497735,"250,000,000",4276,17.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
01-May-15,68,Gabbar is Back,534601,534601,534601,0,381629,152972,0,0,0,0,0,N/A,107,0.2,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
01-May-15,69,Far from the Madding Crowd,12236500,6942438,11018885,0,240160,1090487,1831958,3779833,2246233,1129007,701207,N/A,10,1.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
06-May-15,70,I Am Big Bird,67845,52812,62141,2903,10650,24210,11372,3677,2097,3316,3916,N/A,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
08-May-15,71,Hot Pursuit,34580201,32934354,34040667,0,17724293,7720947,5535347,1953767,633821,169305,303187,"35,000,000",3003,16.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
08-May-15,72,5 Flights Up,1020921,894683,1020921,0,325596,255907,210157,103023,71164,35001,20073,N/A,87,1.3,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
08-May-15,73,Saint Laurent,429477,145256,156102,0,50219,56879,32508,5650,4594,4417,1835,N/A,4,0.7,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
08-May-15,74,The Apu Trilogy,402723,175127,294538,0,30224,22839,46871,75193,47601,49418,22392,N/A,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
15-May-15,75,Pitch Perfect 2,183785415,164715385,181778560,0,87486595,45212125,20582875,11433790,9448995,5429380,2184800,"29,000,000",3473,27.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
15-May-15,76,"Mad Max:
Fury Road",153636354,134477827,147990869,0,63440279,38849255,20544731,11643562,6309002,4555993,2648047,"150,000,000",3702,16.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
15-May-15,77,Where Hope Grows,1156000,1144322,1156000,0,628519,413200,83824,18779,11678,0,0,N/A,276,0.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
15-May-15,78,I'll See You In My Dreams,7449681,2150926,5369192,0,74973,471789,755618,848546,1223365,1047799,947102,,3,0.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
22-May-15,79,Tomorrowland,93436322,85687300,91304790,0,49385651,19828327,10976435,5496887,3425716,1544514,647260,"190,000,000",3972,17.2,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
22-May-15,80,Poltergeist (2015),47425125,46492565,47194519,0,30466646,11135282,3827017,1063620,335005,243196,123753,"35,000,000",3240,10.7,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
22-May-15,81,When Marnie Was There,561085,360092,512026,0,44260,63953,121862,130017,69697,40573,41664,N/A,2,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
22-May-15,82,Sunshine Superman,88097,68979,79995,0,13447,35214,12669,7649,6440,3211,1365,N/A,3,0.1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
29-May-15,83,Aloft,53086,26228,42640,0,3558,4842,5340,12488,7296,4814,4302,N/A,2,0.7,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
29-May-15,84,San Andreas,155152180,136595513,150654766,0,72626201,35684713,15677980,12606619,7770867,4424495,1863891,"110,000,000",3777,16.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
29-May-15,85,Aloha,21067116,20285393,20946778,0,13041804,4958319,1636798,648472,305592,229356,126437,"37,000,000",2815,6.3,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
29-May-15,86,Gemma Bovery,191533,109176,161211,0,29388,20384,38967,20437,18943,16601,16491,N/A,5,0.1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
29-May-15,87,Heaven Knows What,80734,67883,76454,0,24707,12707,20709,9760,4118,609,3844,N/A,2,0.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
05-Jun-15,88,Spy,110822419,92398623,107339775,0,40937244,22937205,16676055,11848119,8064719,4629301,2247132,"65,000,000",3711,10.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
05-Jun-15,89,Insidious Chapter 3,52218558,50674595,51938214,0,30070581,11187867,6532730,2883417,958830,215032,89757,"10,000,000",3002,1.3,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
05-Jun-15,90,Entourage,32363404,31682467,32297887,7384838,14145634,6179662,2868385,1103948,369666,103915,141839,"30,000,000",3058,16.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
05-Jun-15,91,Love & Mercy,12551031,9789350,11924373,0,3008611,2447194,2527402,1806143,1110087,643251,381685,N/A,481,0.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
12-Jun-15,92,Jurassic World,650852291,572538290,627699630,0,296211625,149629150,81460150,45237365,27235515,17128970,10796855,"150,000,000",4274,27.2,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
12-Jun-15,93,Me and Earl and the Dying Girl,6758416,4880790,6517140,0,293412,570639,1820988,2195751,1084210,380341,171799,"8,000,000",15,1.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
12-Jun-15,94,The Wolfpack,1300447,889711,1197731,0,68640,274179,310984,235908,158303,86909,62808,N/A,2,0.1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
12-Jun-15,95,Set Fire to the Stars,4280,6786,6826,0,1674,1370,0,3742,40,0,0,N/A,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
19-Jun-15,96,Dope,17506470,15821463,16610817,0,8914378,4091894,1848952,966239,459098,210156,120100,"700,000",2002,0.5,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
19-Jun-15,97,Inside Out,355686743,294702966,332686150,0,132817010,83303161,50410133,28172662,18275845,12098081,7609258,"175,000,000",3946,17.2,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
19-Jun-15,98,Eden,65460,65460,65460,0,25237,22763,12768,4692,0,0,0,N/A,3,0.4,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
19-Jun-15,99,Gabriel,"5,917",5917,5917,0,"3,436","1,954",527,0,0,0,0,N/A,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
19-Jun-15,100,Infinitely Polar Bear,1430655,685079,1197498,0,64249,97278,274498,249054,171429,171883,169107,N/A,5,0.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
19-Jun-15,101,Manglehorn,132075,125735,125735,0,17887,35574,37071,35203,0,0,0,N/A,3,0.1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
19-Jun-15,102,The Overnight,1110522,970604,1098683,0,66126,237212,509252,158014,76747,41188,10144,N/A,3,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
19-Jun-15,103,The Tribe,150564,81529,110861,0,16266,27674,13578,24011,13955,11149,4228,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
26-Jun-15,104,Max (2015),42656255,39008540,40894832,0,18760777,11523418,5691460,3032885,1204701,463904,217687,"20,000,000",2870,16.2,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
