ReleaseMonth,Items,Name,Note on Tweets,Advice
20-Feb-15,1,The DUFF,"1. Covering a big topic on Hilary Duff(an American actress and singer)whatever you use key words as The Duff, or The Duff movie.                                     2. Covering People name such as Anthony Duff,Jada Duff,and I am a duff when just use The Duff.                               3. #TheDUFF covering movie topic. ","Set rearch on ""The DUFF + movie/film"", except ""Hilary Duff"" E.X. ""Hilary Duff was the bomb growing up and she  is still making catchy songs"""
20-Feb-15,2,Hot Tub Time Machine 2,"It seems just use ""Hot Tub Time Machine 2"" can get all topic about movie, since the movie name is specific.","Set rearch on ""Hot Tub Time Machine 2"""
20-Feb-15,3,McFarland USA,"1. when people talk on movie, they use watch, movie, #McFarland USA,                        2. Some people say McFarland USA makes me want to run, Cry, cry,cryÿI don't know how to filter such sentiment","Set rearch on ""McFarland USA + movie/film"" and ""McFarland USA + watch"", and #McFarland USA, and maybe ""McFarland USA + want to run"" for a special case.E.X.McFarland, USA makes me want to run "
20-Feb-15,4,Wild Tales,"1. Sometime people talk film instead of movie such as Watched 3 very good films this week.And it happened not just once.                          2. There are some tweets such as ""Wild Tales is super dark and super funny. Very much recommended.""  Use keyword of recommend?               3.Another interesting tweet:  The guy who made the amazing WILD TALES is writing/directing it, so...maybe?                3. #Top5FirstViews, #wildtales           4 .use Watched watch, view,viewing","Set rearch on ""Wild Tales + recommend"" and ""Wild Tales + writing/directing"" and  #Top5FirstViews, #wildtales, and ""Wild Tales + watch/watched/view/viewing"". Or  consider ""wild Tales + movie/film"" too.  "
27-Feb-15,5,Focus,"1. If you use ""Focus movie"" as keywords it doesn't help much.  2. Use key words as ""Focus + will smith"" would give almost tweets on movie","Set rearch on ""Focus + will smith"" "
27-Feb-15,6,The Lazarus Effect,"This one the same as No.2,the movie name is specific and tweets are almost about movie.","Set rearch on ""The Lazarus Effect"" "
27-Feb-15,7,After The Ball,"""After The Ball + movie"" would be good use","Set rearch on ""After The Ball + movie/film"""
27-Feb-15,8,71,"Use ""'71 movie jack"" would be good use","Set rearch on ""'71 movie/film jack"" "
27-Feb-15,9,Deli Man,"Use ""Deli Man + movie"" would be good use","Set rearch on ""Deli Man + movie/film"" "
27-Feb-15,10,Eastern Boys,"Use ""Eastern Boys + movie"" would be good use","Set search on ""Eastern Boys + movie/film"""
25-Feb-15,11,Farewell to Hollywood,"Use ""Farewell to Hollywood + movie"" still have a lot of noise, but I don't have a better idea since either too small if add an additional 2015 , or similar problem on noise if add actor name or director name, if I add additonal actor name or director name, which still too small.","Can we use ""Farewell to Hollywood + movie/film"" but except some key words?"
27-Feb-15,12,Futuro Beach,use Futuro Beach + wagner and Futuro Beach + movie,"Set search on ""Futuro Beach + wagner"" and ""Futuro Beach + movie/film"""
27-Feb-15,13,The Hunting Ground,"I think ""The Hunting Ground"" search already give almost movie topic","Set rearch on ""The Hunting Ground"""
27-Feb-15,14,A La Mala,"1.¡°A La Mala + movie¡±almost help to get all tweets about the movie   2. ""A La Mala + Aislinn"" almost get tweets about movie too.","set search on¡°A La Mala + movie/film¡±and ""A La Mala + Aislinn"""
27-Feb-15,15,Maps to the Stars,"There are almost tweets about movie topic if u just search ""Maps to the Stars"" from 2015-2-20 until 2015-4-10, but there are also some tweets like ""The Painter Inc. _@ThePainterIncVA  Apr 3 Visit our Google Maps page and click on the red stars to see what customers are saying about The Painter, Inc. http://fb.me/3EbtTSlQW "".  ","I am thinking whether can make a limitation that only collect tweets the words ""Map to the Star"" apear together. "
27-Feb-15,16,The Salvation,"There are many noise especially tweets on ""the salvation army ""","1. Can we do except ""the salvation army "" to delete tweets of ""the salvation army ""?"
27-Feb-15,17,Snow Girl and the Dark Crystal,"Use ""Snow Girl and the Dark Crystal"" would be good use","Use ""Snow Girl and the Dark Crystal"" would be good use"
06-Mar-15,18,Chappie,Chappie + movei and #Chappie would be good use,Chappie + movie/film and #Chappie would be good use
06-Mar-15,19,Unfinished Business,"""Unfinished Business + movie"" and ""Unfinished Business + film"" and ""Unfinished Business + Vince Vaughn""","""Unfinished Business + movie/film"" and ""Unfinished Business + Vince Vaughn"""
06-Mar-15,20,The Mafia Only Kills in Summer,"""The Mafia Only Kills in Summer"" is good use to get almost tweets on movie. ","""The Mafia Only Kills in Summer"" is good use to get almost tweets on movie. "
06-Mar-15,21,Merchants of Doubt,"""Merchants of Doubt + movie/film"" would be good use","""Merchants of Doubt + movie/film"" would be good use"
06-Mar-15,22,The Second Best Exotic Marigold Hotel,"""The Second Best Exotic Marigold Hotel"" would be okay for extracting movie-related tweets. ","""The Second Best Exotic Marigold Hotel"" would be okay for extracting movie-related tweets. "
13-Mar-15,23,Cinderella,"Very surprisely if u just search Cinderella, it gives you a lot of tweets about movie, but still some exception such as:                            1. miu miu _@Cinderella_miu  Apr 23 Manhattan, NY
A special night with my special person  @ An American In Paris on Broadway                   2. ¡°@cinderella_xsa: @Manny__jeanty thatt headerrrr ¡± Thats the gangg since like 2010..  5thh                   3. Sharon _@rosacotton  Apr 23
@sfballet Cinderella! #ProkofievsBirthday           4.  Ang _@prrincessangg  Apr 23
this girl at my school calls me Cinderella  she's said cause I look like I should be a princess TRUUUU","""Cinderella + movie/film"" and ""Cinderella + watch/watched"" and ""Cinderella + Disney"" ,and  ""Cinderella + Lily James/ Cate Blanchett/Richard Madden"""
